Object ID,clusters
5d7e2772-db1c-41db-8b84-f903f0c2cd55,2
29fd8335-1bd4-41f3-899b-89ab098b0898,0
9c0eaa48-a388-4e40-be2d-cc3cde63967c,7
9cfd0bd1-037e-4016-b517-58061d81abc5,0
62bd69e7-e84a-4df0-8baf-a6ca18cb3904,7
8facc12f-ce32-4858-b10a-24e59e8990a5,3
92c47371-31e9-46a8-b50f-2483e374349e,7
7e408f9d-5215-4797-9480-edc834de9b94,3
61915a6c-c66d-4ae6-8e2d-f1df4f19b23c,0
2b9820b7-fc32-4354-8580-f499291034c6,2
67372207-d1f7-476f-ab53-a7fca3084bc7,2
07394b25-f31c-47b5-a622-31599ccf158c,1
07aa394e-c868-435b-bfa7-823026513ed1,0
cb5457e0-c925-452b-9cda-ed980f24b878,6
0ddc1604-d579-4cc0-be03-6ea0f0537188,0
a1752ab0-be42-486b-a401-212ec7e9f933,1
92c81f82-0d89-4d79-a2f4-0e6b883ee816,4
955d7b28-a661-43aa-a582-905de1eef06a,7
a7705f6b-6a78-42ac-9831-4370ca2e1ff5,1
e755b281-d625-4e4f-a940-99617b3003a2,4
020c7d98-40ff-4e8e-bb2b-6b08969396d0,1
2103ead4-5b65-47ad-9435-e37868751e96,1
edb6d0b4-a2c4-44ba-a2c7-ac2d95e409da,2
1a998196-3c7d-4557-a037-bbf3ce8ce136,0
ed5ddb62-3f31-43d4-bac3-a52384962dcb,0
b9b61747-0967-497c-95d5-b21420a80f0d,8
c42304ac-a519-4ea4-acba-c8f17bbd1eca,7
75126d26-1e21-4d8b-97d6-e88d4731cb2e,0
c799b6b0-7462-4f49-9abe-c44cd1a6d593,5
df4ff017-76dc-4f1b-b624-a76e33dde304,1
357bf190-d8ab-4d5f-8916-5643246b7197,0
184dd7e4-e418-4a83-8688-a8c417b781f7,5
5c2b3283-82eb-4080-8f6e-02c77191f87e,7
02aa306a-3f58-422e-84f7-1a9b03148f2f,6
543ce43b-433d-447e-a179-f52225b61ce1,0
cc35fde5-94ad-4be2-9d7d-25fdc3f7fb3e,0
5e1d57d8-5766-473f-ab63-43f40640328d,1
ea84993b-55a7-4c70-b02e-987df16c3a30,2
c0e2a31e-cf25-456f-8bb0-a6f7052fcf03,2
17dadab3-0b78-4404-aa3c-8b0d165953a4,4
11fdd99b-86c1-4c82-a83f-69bd7b1c9d9c,2
5cb75eea-da69-4889-9a64-f7e73cc09b9f,5
bc129730-80f5-4714-8279-d7e1877e7048,0
8c22f556-88b9-46ac-a58e-8a928956043b,8
053ddd75-afd9-4b24-b6ef-739e22dada55,1
bed1ca59-9d7f-49cd-9512-ad60073a5050,3
f7c48d55-7b53-4bd2-adcb-36876918c226,0
aadf549c-43f8-4327-8fe8-e4b1e8acfbf8,3
cefbeb75-51aa-4d62-90a6-8385ba651ed6,2
b04bfb18-d670-461c-b51a-17f5b2ade5a8,1
b51a1612-acce-48ab-8680-2377fe96f255,5
4214e88a-030a-425e-b070-612d8bb9b807,0
99c13c3e-b0ce-4f87-a9f1-1aac20e2da26,0
10481cbc-fe72-46cf-bb19-4762fbaff321,7
7e94bbe3-b911-4eba-a242-ca01dc0d6fa0,3
cdfe6d8d-4e8b-4209-a0dd-f0300ff61e3e,7
432fbf53-2970-417d-9851-850ad9139d0c,1
e560c2e5-61f9-465f-97a6-5ef85fd70268,0
89ccd067-64c8-44da-a55c-8543206bd205,3
286b844a-359d-4465-b7d5-7ea863494eaa,6
7d8ca054-0be5-47fd-9e99-f0648589269d,0
5255d2b1-b2ed-4e99-b2da-b22be881d7b9,3
aefacc72-af84-46d3-8830-2b5a4dd49c5f,0
c9ea622a-18e2-4b5d-83c6-56796444174a,6
322c3243-83e4-4199-92f2-f0223676f2d4,3
ba9449b1-09be-49db-baee-c0334a9114da,5
1cbd2fa3-9c8a-4777-a8f7-41bd38d8f1b3,3
d0b96a2e-c7f6-4f2d-bf79-0e9e6ab404f8,0
d6dff087-6bda-4b5a-9a09-3cbbe542a89e,2
a0feb2bb-c025-4703-a8f7-4c062f092307,1
86b9d691-9cbe-4147-b417-eef11f37fcb8,5
d07bd0e9-0c15-4503-8196-7d71b01b50a5,5
e69facb0-757e-4111-9ad9-b5931e1ad278,6
4a9b776f-5b60-4d81-b203-1b91abe56498,1
91a062c6-0db1-4729-8d94-a48d747695a0,6
ea249fa2-55af-4fa1-a452-234a4ff23f3b,1
1d1373ec-1aaa-4e25-adfe-7376c0daeca0,1
ef048c80-1ec9-451c-aeae-ce815f9f3883,1
9bd28572-4bb5-4d5e-b0aa-1720e8fcc09f,4
292f8e85-dbc0-45b7-9a07-1f95c33d02a2,6
cf341ae9-6074-46c6-9bb5-c6f85b497d8a,6
c308af64-b3e8-4f3b-922f-8d74024173a2,0
a4f80a9a-fded-4deb-8d8b-f7854da83212,8
4c9fd661-8dae-4ecf-9c1b-ad57b85acd96,5
80334240-95c8-4277-b328-0667e4c65796,0
b1373ff1-46c7-467b-8913-5b55d9a79c29,6
4bfa9b3f-3b7e-4b18-89a3-03cf547a086a,2
169f3e6d-2109-4742-8993-5aefebc3f7b3,0
3c0b7b11-ec4a-4cf5-9f3c-8f954147d606,1
d2c5f626-0b8d-4953-94e9-f99b3c0209f0,2
d5650da5-b09c-4e18-ac7b-0b6a42be1406,4
bac37094-9bb9-43e3-9ad7-a67930a3b6ca,5
be582aa6-9636-4ce5-865f-60df406c0831,6
4381eb14-23ba-4a4c-8b18-719e62e67e80,4
be1e8467-4003-48db-87ba-2323fbe27695,6
76a6d056-9c13-486e-a8fd-a51c5bfdcaaa,5
f64a8310-4aa5-4f86-b2f8-bc138eaa7541,3
03412d4d-6e75-4d34-bb22-88535a781d79,0
593acdb5-d8b6-4edc-82cc-fcac00695b31,2
f3724f2e-c57c-4e40-ac80-8c61dd8903c7,2
5f037005-bf97-4c06-b442-1f1a4c720647,4
c25788ae-6c61-4e7f-8ffe-e1fefd1ee514,0
ba610f5f-b4f5-4191-abac-792d6cddb291,1
ecf34d8d-aa1b-4336-8634-571669e38670,2
3f5009a2-9dbb-47fb-978f-fb789b99b9ea,0
e0549bc4-9a38-4cc5-815a-e15bc2777ea9,5
0ac38392-c04b-4095-ad14-ce0a0455316c,2
dca69806-5998-4cd6-ba1e-0745c19507df,1
a962c6da-6b86-4f95-94d3-2e107a049a0c,4
a8130bb9-69b8-4224-9c73-8a5c50cf455a,0
7c81e3a2-d865-4152-a053-6a1ff22e9ae2,6
5883a914-d25f-486c-9265-9eafec795a8b,4
a922f849-66e5-495f-b797-f7fdb185a786,0
bd520043-753d-414f-bde1-3b051d395e2a,0
dc469116-4bf2-4c8a-9aa1-965ee9efa825,0
2f623356-8480-4962-8d13-28b2de69a8eb,1
4e795a89-7fe8-45d7-b821-8de6984895ee,3
bb45730e-ad02-4541-91cc-6a9ff40e3dfd,3
5f4f2386-0aeb-4d33-8a0c-44d918b90c9d,0
f81cfb7b-b167-40ac-baa3-5df6549a7d25,0
c2e300f0-e4e5-4349-95e2-1a75ffe34920,7
6eb4c29d-7d39-4ea2-8bef-bcedddbb2043,0
72277f9d-37b5-4d9e-aefc-d8d83bf19d08,6
7fe3c1c4-920a-437b-b29d-f3d3aa4257d6,0
500ae900-c094-4070-8201-1197491275c3,4
b8dfb3fe-c6b0-4120-b452-bb1b310e43eb,3
0db36ed2-e213-4c5d-bd55-e0334cf5aea6,2
8d322252-65d3-4b40-b16f-6dcda4b34e89,0
64cd3f1d-6755-4693-8c31-ed828a03b2d5,6
e8e6ef78-97f2-4acd-aa8d-c3d2bef229dd,4
1bd9ce21-6d7a-42d5-9ac3-d7f12f5a7c93,0
9c130b9e-0d50-4efa-9936-bcc3cfc50435,5
df246af8-871d-4091-8023-3352eebc456f,4
36ed22be-24c2-460f-9d7c-aef5e572993d,1
21983e79-0304-4e48-9757-d76382e5bac6,3
41d91821-5075-4918-98ce-d4c89c3c29fd,0
73b68084-ad45-4d23-8c1a-4452f17d38f5,6
2cc5dcf0-9e23-4ad9-a0b3-be8f6e128e3f,3
6f4c2d63-7dc2-4f4d-bf86-2a5e917448fa,4
ba582797-8b41-4b5c-a855-ebfab16d8044,4
658be61c-1a87-4da2-be6a-b9ecad969f51,3
66b8cd92-53c7-4f6b-8b1d-21e5186023cd,1
9724e873-458a-4419-b2d0-fdc64ad36a35,0
59c8d5bc-07a6-48bc-9e69-ce05d272f840,6
e3aa1e89-cf0f-47cd-8d1c-137d5b673768,5
49ab1713-b9d0-4717-ad70-037add48c34b,0
bf816f86-3f0f-4c3f-a010-a22a2ca6aabc,1
81051eb0-c512-4a8a-8d3b-28789a84f995,1
9abc620c-1c22-4de1-b3e0-53c924104149,3
c728a9e6-44e7-48d8-a1e1-90f2d9ff3cd8,3
a8435dcb-8dc4-46a4-b8a5-e50a69f04eec,1
fd9871fe-8cb2-45cc-ad75-d648a7bddecc,2
9dda953d-091e-45da-bd58-ca9095a76958,4
1b0181a9-a2d7-4364-b8be-4f9da0976476,1
9d8fa160-e2cc-4809-b3b6-c91c440ad734,3
af269233-0690-4725-b0e6-d186f11fffe5,0
fa45c60b-61d1-4948-8944-87af98eae57e,5
66a627cb-a75d-43ce-a4a3-560637772742,2
6d2217ee-67cd-4c82-a1b6-49292201940b,0
d44edb4c-a3c1-4d78-b9cd-7aa17e0bd0da,8
4e2bccd3-306a-437e-9c9c-f190294a88ef,5
f8ef97b5-a82e-4029-8930-7d2336677eb0,1
5898b696-c7cc-4334-9599-05520db28957,1
7ca91aa6-8421-4142-995b-356dd2decb8b,0
04f5f458-1579-477c-9bed-0cdf80a94b7e,0
1f673de3-b130-45f0-84f1-293d5671ea98,5
b2a70111-3704-48e1-860f-c93b2f7a2bdb,0
a8caeae8-ea36-4867-972a-e8b6c4c428f3,6
5678c580-a82d-43e8-ab64-e4046a1945be,1
45df8931-5472-4938-afe5-af4d15a13f48,3
0f234829-2b75-4c9c-ba7d-b3c9a894e5c6,3
b72b515a-6e61-48ce-8367-6e7851f81f31,2
4bdd16c7-5dd2-4c36-b8b5-31e1db5a59fb,1
11b1365f-c9ea-485a-befc-3cc51e63d5cb,4
3f9644eb-94a3-4101-9a16-af17b9fc37f5,4
d5ca92e4-9582-47d0-82ee-7bae935b8b5f,0
bbd24ed2-38c9-4c2d-b3c9-37fa3b510523,1
